"","USA...Brazil","USA...Guatemala","USA...Indonesia","USA...Mexico","USA...Uganda","USA...Vietnam","Germany...Colombia","Germany...El.Salvador","Germany...Guatemala","France...Colombia","France...Brazil","France...Cote.dIvoire","France...Indonesia","France...Uganda","France...Vietnam"
"USA...Brazil",0,0,0,0,0,0,0,0,0.378251926534902,0,0.0074537196906588,0,0,0,0
"USA...Guatemala",0,0,0,0.188934620879762,0,0.00931470270915744,0.114734955419228,0.124134491705589,0,0.114734955419228,0,0.0122694597082459,0,0,0
"USA...Indonesia",0,0.0132919056550708,0,0.0178375040917146,0.126132491460343,0.0247275086150083,0.0139032578779902,0.00943306734345004,0.0103331784170721,0.0139032578779902,0.0164764454767902,0.0696507754534784,0,0,0.144278173917087
"USA...Mexico",0.0322903526738872,0.126644737729357,0.0073664580147032,0,0,0.0111227392850602,0.0924801345490772,0.124044286043546,0,0.0924801345490772,0,0.0108601892652588,0,0,0.0123123466072259
"USA...Uganda",0,0.0114497427205881,0.243276930195676,0,0,0.019198177609186,0,0,0,0,0.0092946460760271,0.0810452359998178,0.0211087257409924,0.0122374198299921,0.144547303939954
"USA...Vietnam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany...Colombia",0.00864729125998682,0.0509425235197007,0,0.063475722977885,0,0,0,0.178041661026626,0.00894794703226194,0.33545730849479,0,0,0,0,0
"Germany...El.Salvador",0.00905528261069703,0.0710852090315945,0,0.096115868083811,0,0,0.16957456666144,0,0,0.16957456666144,0,0,0,0,0.0107993823996931
"Germany...Guatemala",0.278774558346231,0,0,0,0,0,0,0,0,0,0,0,0,0.00727043821116929,0
"France...Colombia",0.00864729125998682,0.0509425235197007,0,0.063475722977885,0,0,0.33545730849479,0.178041661026626,0.00894794703226194,0,0,0,0,0,0
"France...Brazil",0.0528069869111328,0,0,0,0,0,0,0,0.0559911644535883,0,0,0,0.0240855157479272,0.0268058833923682,0
"France...Cote.dIvoire",0,0,0.00850985659099067,0,0,0,0,0,0,0,0,0,0,0,0.303678936611173
"France...Indonesia",0,0,0,0,0,0,0,0,0,0,0.0103329342994304,0,0,0.460633962549096,0
"France...Uganda",0,0,0,0,0,0,0,0,0,0,0,0,0.263729048336892,0,0
"France...Vietnam",0,0,0.0142903301386683,0,0,0,0,0,0,0,0,0.227124146803652,0.00846917273003218,0,0
